id,stationName,totalDocks,latitude,longitude,stAddress1
264,Maiden Ln & Pearl St,27,40.70706456,-74.00731853,Maiden Ln & Pearl St
265,Stanton St & Chrystie St,35,40.72229346,-73.99147535,Stanton St & Chrystie St
266,Avenue D & E 8 St,24,40.72368361,-73.97574813,Avenue D & E 8 St
267,Broadway & W 36 St,57,40.75097711,-73.98765428,Broadway & W 36 St
268,Howard St & Centre St,27,40.71910537,-73.99973337,Howard St & Centre St
270,Adelphi St & Myrtle Ave,23,40.69308257,-73.97178913,Adelphi St & Myrtle Ave
274,Lafayette Ave & Fort Greene Pl,31,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl
275,Washington Ave & Greene Ave,19,40.68650065,-73.96563307,Washington Ave & Greene Ave
276,Duane St & Greenwich St,25,40.71748752,-74.0104554,Duane St & Greenwich St
278,Concord St & Bridge St,19,40.69766564,-73.98476437,Concord St & Bridge St
279,Peck Slip & Front St,36,40.707873,-74.00167,Peck Slip & Front St
280,E 10 St & 5 Ave,31,40.73331967,-73.99510132,E 10 St & 5 Ave
281,Grand Army Plaza & Central Park S,59,40.7643971,-73.97371465,Grand Army Plaza & Central Park S
282,Kent Ave & S 11 St,27,40.70827295,-73.96834101,Kent Ave & S 11 St
284,Greenwich Ave & 8 Ave,43,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave
285,Broadway & E 14 St,47,40.73454567,-73.99074142,Broadway & E 14 St
289,Monroe St & Classon Ave,19,40.6845683,-73.95881081,Monroe St & Classon Ave
291,Madison St & Montgomery St,20,40.713126,-73.984844,Madison St & Montgomery St
293,Lafayette St & E 8 St,55,40.73028666,-73.9907647,Lafayette St & E 8 St
295,Pike St & E Broadway,24,40.71406667,-73.99293911,Pike St & E Broadway
296,Division St & Bowery,35,40.71413089,-73.9970468,Division St & Bowery
297,E 15 St & 3 Ave,27,40.734232,-73.986923,E 15 St & 3 Ave
298,3 Ave & Schermerhorn St,35,40.68683208,-73.9796772,3 Ave & Schermerhorn St
300,Shevchenko Pl & E 7 St,55,40.728145,-73.990214,Shevchenko Pl & E 7 St
301,E 2 St & Avenue B,37,40.72217444,-73.98368779,E 2 St & Avenue B
302,Avenue D & E 3 St,23,40.72082834,-73.97793172,Avenue D & E 3 St
303,Mercer St & Spring St,31,40.72362738,-73.99949601,Mercer St & Spring St
304,Broadway & Battery Pl,36,40.70463334,-74.01361706,Broadway & Battery Pl
305,E 58 St & 3 Ave,33,40.76095756,-73.96724467,E 58 St & 3 Ave
306,Cliff St & Fulton St,25,40.70823502,-74.00530063,Cliff St & Fulton St
307,Canal St & Rutgers St,29,40.71427487,-73.98990025,Canal St & Rutgers St
308,St James Pl & Oliver St,27,40.71307916,-73.99851193,St James Pl & Oliver St
309,Murray St & West St,41,40.7149787,-74.013012,Murray St & West St
310,State St & Smith St,36,40.68926942,-73.98912867,State St & Smith St
311,Norfolk St & Broome St,31,40.7172274,-73.98802084,Norfolk St & Broome St
312,Allen St & Stanton St,0,40.722055,-73.989111,Allen St & Stanton St
313,Washington Ave & Park Ave,23,40.69610226,-73.96751037,Washington Ave & Park Ave
315,South St & Gouverneur Ln,29,40.70355377,-74.00670227,South St & Gouverneur Ln
316,Fulton St & William St,43,40.70955958,-74.00653609,Fulton St & William St
317,E 6 St & Avenue B,27,40.72453734,-73.98185424,E 6 St & Avenue B
319,Fulton St & Broadway,33,40.711066,-74.009447,Fulton St & Broadway
320,Leonard St & Church St,39,40.717571,-74.005549,Leonard St & Church St
321,Cadman Plaza E & Red Cross Pl,27,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl
322,Clinton St & Tillary St,31,40.696192,-73.991218,Clinton St & Tillary St
323,Lawrence St & Willoughby St,39,40.69236178,-73.98631746,Lawrence St & Willoughby St
324,DeKalb Ave & Hudson Ave,51,40.689888,-73.981013,DeKalb Ave & Hudson Ave
325,E 19 St & 3 Ave,35,40.73624527,-73.98473765,E 19 St & 3 Ave
326,E 11 St & 1 Ave,27,40.72953837,-73.98426726,E 11 St & 1 Ave
327,Vesey Pl & River Terrace,39,40.7153379,-74.01658354,Vesey Pl & River Terrace
328,Watts St & Greenwich St,23,40.72405549,-74.00965965,Watts St & Greenwich St
329,Greenwich St & N Moore St,31,40.72043411,-74.01020609,Greenwich St & N Moore St
330,Reade St & Broadway,39,40.71450451,-74.00562789,Reade St & Broadway
331,Pike St & Monroe St,27,40.71173107,-73.99193043,Pike St & Monroe St
332,Cherry St,24,40.71219906,-73.97948148,Cherry St
334,W 20 St & 7 Ave,31,40.74238787,-73.99726235,W 20 St & 7 Ave
335,Washington Pl & Broadway,27,40.72903917,-73.99404649,Washington Pl & Broadway
336,Sullivan St & Washington Sq,36,40.73047747,-73.99906065,Sullivan St & Washington Sq
337,Old Slip & Front St,37,40.7037992,-74.00838676,Old Slip & Front St
339,Avenue D & E 12 St,24,40.72580614,-73.97422494,Avenue D & E 12 St
340,Madison St & Clinton St,27,40.71269042,-73.98776323,Madison St & Clinton St
341,Stanton St & Mangin St,19,40.71782143,-73.97628939,Stanton St & Mangin St
342,Columbia St & Rivington St,29,40.71739973,-73.98016555,Columbia St & Rivington St
343,Clinton Ave & Flushing Ave,23,40.69794,-73.96986848,Clinton Ave & Flushing Ave
344,Monroe St & Bedford Ave,23,40.6851443,-73.95380904,Monroe St & Bedford Ave
345,W 13 St & 6 Ave,35,40.73649403,-73.99704374,W 13 St & 6 Ave
346,Bank St & Hudson St,27,40.73652889,-74.00618026,Bank St & Hudson St
347,Greenwich St & W Houston St,35,40.728846,-74.008591,Greenwich St & W Houston St
348,W Broadway & Spring St,42,40.72490985,-74.00154702,W Broadway & Spring St
349,Rivington St & Ridge St,23,40.71850211,-73.98329859,Rivington St & Ridge St
350,Clinton St & Grand St,28,40.71559509,-73.9870295,Clinton St & Grand St
351,Front St & Maiden Ln,39,40.70530954,-74.00612572,Front St & Maiden Ln
352,W 56 St & 6 Ave,36,40.76340613,-73.97722479,W 56 St & 6 Ave
353,S Portland Ave & Hanson Pl,27,40.68539567,-73.97431458,S Portland Ave & Hanson Pl
354,Emerson Pl & Myrtle Ave,23,40.69363137,-73.96223558,Emerson Pl & Myrtle Ave
355,Bayard St & Baxter St,43,40.71602118,-73.99974372,Bayard St & Baxter St
356,Bialystoker Pl & Delancey St,23,40.71622644,-73.98261206,Bialystoker Pl & Delancey St
357,E 11 St & Broadway,27,40.73261787,-73.99158043,E 11 St & Broadway
358,Christopher St & Greenwich St,36,40.73291553,-74.00711384,Christopher St & Greenwich St
359,E 47 St & Park Ave,55,40.75510267,-73.97498696,E 47 St & Park Ave
360,William St & Pine St,39,40.70717936,-74.00887308,William St & Pine St
361,Allen St & Hester St,43,40.71605866,-73.99190759,Allen St & Hester St
362,Broadway & W 37 St,57,40.75172632,-73.98753523,Broadway & W 37 St
363,West Thames St,49,40.70834698,-74.01713445,West Thames St
364,Lafayette Ave & Classon Ave,27,40.68900443,-73.96023854,Lafayette Ave & Classon Ave
365,Fulton St & Grand Ave,31,40.68223166,-73.9614583,Fulton St & Grand Ave
366,Clinton Ave & Myrtle Ave,33,40.693261,-73.968896,Clinton Ave & Myrtle Ave
367,E 53 St & Lexington Ave,34,40.75828065,-73.97069431,E 53 St & Lexington Ave
368,Carmine St & 6 Ave,39,40.73038599,-74.00214988,Carmine St & 6 Ave
369,Washington Pl & 6 Ave,35,40.73224119,-74.00026394,Washington Pl & 6 Ave
372,Franklin Ave & Myrtle Ave,27,40.694528,-73.958089,Franklin Ave & Myrtle Ave
373,Willoughby Ave & Walworth St,19,40.69331716,-73.95381995,Willoughby Ave & Walworth St
376,John St & William St,43,40.70862144,-74.00722156,John St & William St
377,6 Ave & Canal St,47,40.72243797,-74.00566443,6 Ave & Canal St
379,W 31 St & 7 Ave,42,40.749156,-73.9916,W 31 St & 7 Ave
380,W 4 St & 7 Ave S,39,40.73401143,-74.00293877,W 4 St & 7 Ave S
382,University Pl & E 14 St,36,40.73492695,-73.99200509,University Pl & E 14 St
383,Greenwich Ave & Charles St,39,40.735238,-74.000271,Greenwich Ave & Charles St
384,Fulton St & Washington Ave,31,40.683048,-73.964915,Fulton St & Washington Ave
385,E 55 St & 2 Ave,29,40.75797322,-73.96603308,E 55 St & 2 Ave
386,Centre St & Worth St,43,40.71494807,-74.00234482,Centre St & Worth St
387,Centre St & Chambers St,39,40.71273266,-74.0046073,Centre St & Chambers St
388,W 26 St & 10 Ave,35,40.749717753,-74.002950346,W 26 St & 10 Ave
389,Broadway & Berry St,27,40.71044554,-73.96525063,Broadway & Berry St
390,Duffield St & Willoughby St,31,40.69221589,-73.9842844,Duffield St & Willoughby St
391,Clark St & Henry St,31,40.69760127,-73.99344559,Clark St & Henry St
392,Jay St & Tech Pl,32,40.695065,-73.987167,Jay St & Tech Pl
393,E 5 St & Avenue C,31,40.72299208,-73.97995466,E 5 St & Avenue C
394,E 9 St & Avenue C,32,40.72521311,-73.97768752,E 9 St & Avenue C
395,Bond St & Schermerhorn St,30,40.68807003,-73.98410637,Bond St & Schermerhorn St
396,Lefferts Pl & Franklin Ave,25,40.680342423,-73.9557689392,Lefferts Pl & Franklin Ave
397,Fulton St & Clermont Ave,27,40.68415748,-73.96922273,Fulton St & Clermont Ave
398,Atlantic Ave & Furman St,31,40.69165183,-73.9999786,Atlantic Ave & Furman St
399,Lafayette Ave & St James Pl,27,40.68851534,-73.9647628,Lafayette Ave & St James Pl
400,Pitt St & Stanton St,15,40.71926081,-73.98178024,Pitt St & Stanton St
401,Allen St & Rivington St,0,40.72019576,-73.98997825,Allen St & Rivington St
402,Broadway & E 22 St,42,40.7403432,-73.98955109,Broadway & E 22 St
403,E 2 St & 2 Ave,15,40.72502876,-73.99069656,E 2 St & 2 Ave
405,Washington St & Gansevoort St,40,40.739323,-74.008119,Washington St & Gansevoort St
406,Hicks St & Montague St,34,40.69512845,-73.99595065,Hicks St & Montague St
407,Henry St & Poplar St,37,40.700469,-73.991454,Henry St & Poplar St
408,Market St & Cherry St,23,40.71076228,-73.99400398,Market St & Cherry St
409,DeKalb Ave & Skillman St,19,40.6906495,-73.95643107,DeKalb Ave & Skillman St
410,Suffolk St & Stanton St,35,40.72066442,-73.98517977,Suffolk St & Stanton St
411,E 6 St & Avenue D,23,40.72228087,-73.97668709,E 6 St & Avenue D
412,Forsyth St & Canal St,29,40.7158155,-73.99422366,Forsyth St & Canal St
414,Pearl St & Anchorage Pl,24,40.70281858,-73.98765762,Pearl St & Anchorage Pl
415,Pearl St & Hanover Square,42,40.7047177,-74.00926027,Pearl St & Hanover Square
416,Cumberland St & Lafayette Ave,31,40.68753406,-73.97265183,Cumberland St & Lafayette Ave
417,Barclay St & Church St,23,40.71291224,-74.01020234,Barclay St & Church St
418,Front St & Gold St,23,40.70224,-73.982578,Front St & Gold St
419,Carlton Ave & Park Ave,23,40.69580705,-73.97355569,Carlton Ave & Park Ave
420,Clermont Ave & Lafayette Ave,23,40.68764484,-73.96968902,Clermont Ave & Lafayette Ave
421,Clermont Ave & Park Ave,19,40.69573398,-73.97129668,Clermont Ave & Park Ave
422,W 59 St & 10 Ave,55,40.770513,-73.988038,W 59 St & 10 Ave
423,W 54 St & 9 Ave,39,40.76584941,-73.98690506,W 54 St & 9 Ave
426,West St & Chambers St,31,40.71754834,-74.01322069,West St & Chambers St
427,Bus Slip & State St,47,40.701907,-74.013942,Bus Slip & State St
428,E 3 St & 1 Ave,31,40.72467721,-73.98783413,E 3 St & 1 Ave
430,York St & Jay St,27,40.7014851,-73.98656928,York St & Jay St
432,E 7 St & Avenue A,31,40.72621788,-73.98379855,E 7 St & Avenue A
433,E 13 St & Avenue A,39,40.72955361,-73.98057249,E 13 St & Avenue A
434,9 Ave & W 18 St,27,40.74317449,-74.00366443,9 Ave & W 18 St
435,W 21 St & 6 Ave,47,40.74173969,-73.99415556,W 21 St & 6 Ave
436,Hancock St & Bedford Ave,27,40.68216564,-73.95399026,Hancock St & Bedford Ave
437,Macon St & Nostrand Ave,24,40.6809833854,-73.9500479759,Macon St & Nostrand Ave
438,St Marks Pl & 1 Ave,27,40.72779126,-73.98564945,St Marks Pl & 1 Ave
439,E 4 St & 2 Ave,39,40.7262807,-73.98978041,E 4 St & 2 Ave
440,E 45 St & 3 Ave,32,40.75255434,-73.97282625,E 45 St & 3 Ave
441,E 52 St & 2 Ave,35,40.756014,-73.967416,E 52 St & 2 Ave
442,W 27 St & 7 Ave,0,40.746647,-73.993915,W 27 St & 7 Ave
443,Bedford Ave & S 9 St,23,40.70853074,-73.96408963,Bedford Ave & S 9 St
444,Broadway & W 24 St,52,40.7423543,-73.98915076,Broadway & W 24 St
445,E 10 St & Avenue A,42,40.72740794,-73.98142006,E 10 St & Avenue A
446,W 24 St & 7 Ave,0,40.74487634,-73.99529885,W 24 St & 7 Ave
447,8 Ave & W 52 St,31,40.76370739,-73.9851615,8 Ave & W 52 St
448,W 37 St & 10 Ave,31,40.75660359,-73.9979009,W 37 St & 10 Ave
449,W 52 St & 9 Ave,31,40.76461837,-73.98789473,W 52 St & 9 Ave
450,W 49 St & 8 Ave,59,40.76227205,-73.98788205,W 49 St & 8 Ave
453,W 22 St & 8 Ave,39,40.74475148,-73.99915362,W 22 St & 8 Ave
454,E 51 St & 1 Ave,35,40.75455731,-73.96592976,E 51 St & 1 Ave
455,1 Ave & E 44 St,39,40.75001986,-73.96905301,1 Ave & E 44 St
456,E 53 St & Madison Ave,35,40.7597108,-73.97402311,E 53 St & Madison Ave
457,Broadway & W 58 St,39,40.76695317,-73.98169333,Broadway & W 58 St
458,11 Ave & W 27 St,31,40.751396,-74.005226,11 Ave & W 27 St
459,W 20 St & 11 Ave,49,40.746745,-74.007756,W 20 St & 11 Ave
460,S 4 St & Wythe Ave,23,40.71285887,-73.96590294,S 4 St & Wythe Ave
461,E 20 St & 2 Ave,39,40.73587678,-73.98205027,E 20 St & 2 Ave
462,W 22 St & 10 Ave,47,40.74691959,-74.00451887,W 22 St & 10 Ave
463,9 Ave & W 16 St,25,40.74206539,-74.00443172,9 Ave & W 16 St
465,Broadway & W 41 St,39,40.75513557,-73.98658032,Broadway & W 41 St
466,W 25 St & 6 Ave,35,40.74395411,-73.99144871,W 25 St & 6 Ave
467,Dean St & 4 Ave,34,40.68312489,-73.97895137,Dean St & 4 Ave
468,Broadway & W 55 St,59,40.7652654,-73.98192338,Broadway & W 55 St
469,Broadway & W 53 St,57,40.76344058,-73.98268129,Broadway & W 53 St
470,W 20 St & 8 Ave,37,40.74345335,-74.00004031,W 20 St & 8 Ave
471,Grand St & Havemeyer St,31,40.71286844,-73.95698119,Grand St & Havemeyer St
472,E 32 St & Park Ave,41,40.7457121,-73.98194829,E 32 St & Park Ave
473,Rivington St & Chrystie St,38,40.72110063,-73.9919254,Rivington St & Chrystie St
474,5 Ave & E 29 St,47,40.7451677,-73.98683077,5 Ave & E 29 St
475,E 16 St & Irving Pl,37,40.73524276,-73.98758561,E 16 St & Irving Pl
476,E 31 St & 3 Ave,47,40.74394314,-73.97966069,E 31 St & 3 Ave
477,W 41 St & 8 Ave,59,40.75640548,-73.9900262,W 41 St & 8 Ave
478,11 Ave & W 41 St,31,40.76030096,-73.99884222,11 Ave & W 41 St
479,9 Ave & W 45 St,31,40.76019252,-73.9912551,9 Ave & W 45 St
480,W 53 St & 10 Ave,27,40.76669671,-73.99061728,W 53 St & 10 Ave
481,S 3 St & Bedford Ave,25,40.71260486,-73.96264403,S 3 St & Bedford Ave
482,W 15 St & 7 Ave,39,40.73935542,-73.99931783,W 15 St & 7 Ave
483,E 12 St & 3 Ave,35,40.73223272,-73.98889957,E 12 St & 3 Ave
484,W 44 St & 5 Ave,44,40.75500254,-73.98014437,W 44 St & 5 Ave
485,W 37 St & 5 Ave,39,40.75038009,-73.98338988,W 37 St & 5 Ave
486,Broadway & W 29 St,39,40.7462009,-73.98855723,Broadway & W 29 St
487,E 20 St & FDR Drive,36,40.73314259,-73.97573881,E 20 St & FDR Drive
488,W 39 St & 9 Ave,41,40.75645824,-73.99372222,W 39 St & 9 Ave
490,8 Ave & W 33 St,59,40.751551,-73.993934,8 Ave & W 33 St
491,E 24 St & Park Ave S,53,40.74096374,-73.98602213,E 24 St & Park Ave S
492,W 33 St & 7 Ave,49,40.75019995,-73.99093085,W 33 St & 7 Ave
493,W 45 St & 6 Ave,34,40.7568001,-73.98291153,W 45 St & 6 Ave
494,W 26 St & 8 Ave,35,40.74734825,-73.99723551,W 26 St & 8 Ave
495,W 47 St & 10 Ave,25,40.76269882,-73.99301222,W 47 St & 10 Ave
496,E 16 St & 5 Ave,47,40.73726186,-73.99238967,E 16 St & 5 Ave
497,E 17 St & Broadway,59,40.73704984,-73.99009296,E 17 St & Broadway
498,Broadway & W 32 St,30,40.74854862,-73.98808416,Broadway & W 32 St
499,Broadway & W 60 St,36,40.76915505,-73.98191841,Broadway & W 60 St
500,Broadway & W 51 St,40,40.76228826,-73.98336183,Broadway & W 51 St
501,FDR Drive & E 35 St,43,40.744219,-73.97121214,FDR Drive & E 35 St
